ts_code,trade_date,open,high,low,close,vol,amount
600028.SH,20251009,5.29,5.37,5.27,5.36,14638.6,780083195.0
600030.SH,20251009,29.6,30.25,29.35,29.65,38079.85,11325172371.0
600031.SH,20251009,23.01,23.29,22.5,23.24,9091.12,2083585421.0
600036.SH,20251009,40.21,40.44,39.82,40.33,9723.2,3900217891.0
600050.SH,20251009,5.48,5.6,5.46,5.58,41686.84,2307835311.0
600104.SH,20251009,17.38,17.57,17.16,17.52,8650.38,1505300159.0
600111.SH,20251009,49.85,53.13,48.57,53.13,34023.2,17490655035.0
600150.SH,20251009,34.47,35.05,34.25,35.04,10311.66,3584704121.0
600276.SH,20251009,71.56,71.66,69.11,71.15,5927.93,4173571948.0
600309.SH,20251009,66.58,67.85,65.3,67.73,3353.4,2239007155.0
600406.SH,20251009,23.3,23.48,23.0,23.38,9682.51,2257455372.0
600519.SH,20251009,1436.0,1439.38,1420.0,1436.78,549.18,7845448947.0
600690.SH,20251009,25.1,25.46,24.81,25.44,6148.11,1545176374.0
600760.SH,20251009,71.0,71.79,68.0,71.21,6148.21,4307808190.0
600809.SH,20251009,193.98,193.98,186.03,190.39,741.9,1397301504.0
600887.SH,20251009,27.16,27.63,26.88,27.63,7115.08,1939794035.0
600900.SH,20251009,27.21,27.7,27.15,27.68,11324.99,3112861218.0
600930.SH,20251009,6.39,6.45,6.39,6.45,10931.21,701473604.0
601012.SH,20251009,18.05,19.11,17.87,18.88,27534.07,5131257215.0
601088.SH,20251009,38.28,39.46,38.27,39.44,4338.29,1688660954.0
601127.SH,20251009,173.5,173.5,158.77,160.0,7942.78,12953281518.0
601166.SH,20251009,19.89,19.92,19.65,19.67,14220.41,2805438366.0
601211.SH,20251009,18.83,18.98,18.66,18.69,24944.51,4683706784.0
601225.SH,20251009,20.0,20.47,19.73,20.42,5396.75,1084375484.0
601288.SH,20251009,6.64,6.74,6.54,6.7,39617.57,2630730713.0
601318.SH,20251009,55.04,55.28,54.25,55.04,8240.67,4521397150.0
601328.SH,20251009,6.7,6.73,6.66,6.72,17310.61,1159225927.0
601398.SH,20251009,7.25,7.32,7.2,7.31,29774.11,2160546979.0
601601.SH,20251009,34.93,35.14,34.26,34.88,5451.48,1891456881.0
601628.SH,20251009,39.68,39.68,38.72,39.62,1321.35,518367280.0
601658.SH,20251009,5.73,5.74,5.63,5.7,12883.36,731862885.0
601668.SH,20251009,5.46,5.56,5.45,5.56,29175.0,1608609616.0
601728.SH,20251009,6.66,6.77,6.64,6.76,14209.29,954657319.0
601816.SH,20251009,5.14,5.16,5.1,5.15,17431.76,893631902.0
601857.SH,20251009,8.07,8.29,8.04,8.28,21214.67,1735590724.0
601888.SH,20251009,70.7,70.7,69.55,69.66,3558.87,2486217640.0
601899.SH,20251009,31.22,32.38,30.77,32.38,50934.34,16065595632.0
601919.SH,20251009,14.15,14.39,14.03,14.38,8746.94,1243922171.0
601985.SH,20251009,8.88,9.11,8.88,9.11,30842.5,2780319268.0
601988.SH,20251009,5.18,5.23,5.13,5.23,26898.55,1393383720.0
603019.SH,20251009,121.86,128.12,121.86,123.16,7575.77,9441085463.0
603259.SH,20251009,112.03,113.97,109.85,112.85,5547.08,6219178956.0
603501.SH,20251009,146.66,152.4,144.88,150.02,4715.21,7030247729.0
603993.SH,20251009,16.37,17.27,16.0,17.27,39449.32,6621689414.0
688008.SH,20251009,162.0,169.9,155.78,157.08,7590.14,12306816994.0
688012.SH,20251009,304.0,342.5,302.73,319.11,2781.55,8906414907.0
688041.SH,20251009,262.0,273.33,261.39,263.05,4632.07,12377111523.0
688111.SH,20251009,315.4,328.86,304.05,318.93,1407.85,4426276243.0
688256.SH,20251009,1360.5,1405.93,1332.0,1332.79,1183.38,16137619926.0
688981.SH,20251009,144.0,153.0,137.0,138.91,16628.41,24249284345.0
600028.SH,20251010,5.34,5.4,5.33,5.37,12824.35,688379672.0
600030.SH,20251010,29.64,30.27,29.54,29.68,26758.56,7995783962.0
600031.SH,20251010,23.18,23.66,22.88,22.96,8226.71,1911017390.0
600036.SH,20251010,40.3,40.65,40.13,40.18,9550.5,3852817637.0
600050.SH,20251010,5.56,5.58,5.52,5.53,29923.46,1660834256.0
600104.SH,20251010,17.45,17.49,17.11,17.13,5440.25,941108416.0
600111.SH,20251010,54.7,54.7,51.7,52.48,32161.85,17093658890.0
600150.SH,20251010,35.03,35.29,34.85,34.95,8622.29,3020892417.0
600276.SH,20251010,70.38,70.88,67.85,68.2,7061.01,4868800903.0
600309.SH,20251010,67.5,68.8,66.66,67.73,3289.17,2233362070.0
600406.SH,20251010,23.38,23.84,23.23,23.53,8503.66,2004891300.0
600519.SH,20251010,1437.6,1439.94,1427.5,1430.0,360.01,5157459262.0
600690.SH,20251010,25.3,25.96,25.23,25.66,5700.9,1467140668.0
600760.SH,20251010,70.64,73.66,70.1,71.19,4956.26,3551594051.0
600809.SH,20251010,189.67,191.0,187.53,188.7,519.06,980590651.0
600887.SH,20251010,27.54,28.09,27.46,27.75,5884.53,1637025175.0
600900.SH,20251010,27.65,27.79,27.51,27.73,7126.05,1973210960.0
600930.SH,20251010,6.44,6.53,6.41,6.45,11215.7,724829432.0
601012.SH,20251010,18.97,19.22,18.26,18.4,18887.25,3528008334.0
601088.SH,20251010,39.43,40.04,39.0,39.77,3926.1,1560433513.0
601127.SH,20251010,165.0,172.0,165.0,167.67,6359.38,10728546442.0
601166.SH,20251010,19.66,19.94,19.64,19.69,12248.87,2418379471.0
601211.SH,20251010,18.68,19.4,18.66,18.94,25737.51,4911021161.0
601225.SH,20251010,20.25,21.17,20.16,20.67,5798.47,1200614428.0
601288.SH,20251010,6.7,6.83,6.68,6.83,47248.12,3200498381.0
601318.SH,20251010,54.73,55.97,54.73,55.54,6414.65,3560844773.0
601328.SH,20251010,6.71,6.83,6.7,6.75,21911.61,1482048791.0
601398.SH,20251010,7.29,7.36,7.28,7.31,30486.97,2232583779.0
601601.SH,20251010,34.7,35.7,34.65,35.06,4973.04,1753193013.0
601628.SH,20251010,39.32,40.3,39.3,39.66,1302.0,518839568.0
601658.SH,20251010,5.68,5.74,5.65,5.66,13201.17,750999875.0
601668.SH,20251010,5.54,5.65,5.52,5.61,33336.67,1867181989.0
601728.SH,20251010,6.74,6.8,6.71,6.76,10339.07,698867702.0
601816.SH,20251010,5.14,5.17,5.13,5.15,17368.08,893888185.0
601857.SH,20251010,8.23,8.36,8.2,8.28,13140.79,1089307832.0
601888.SH,20251010,69.51,70.15,68.23,68.6,2641.84,1832211198.0
601899.SH,20251010,31.5,32.0,30.35,30.87,46602.06,14488772296.0
601919.SH,20251010,14.3,14.61,14.28,14.52,9037.87,1309618949.0
601985.SH,20251010,9.1,9.1,8.95,8.99,17724.62,1597065924.0
601988.SH,20251010,5.22,5.28,5.21,5.23,24098.03,1263371303.0
603019.SH,20251010,120.6,121.0,111.94,113.36,8786.84,10133548215.0
603259.SH,20251010,111.78,111.8,104.5,104.72,6893.09,7356582326.0
603501.SH,20251010,147.2,148.93,141.21,141.82,3591.2,5186760348.0
